3 & Loop con gap = 0.1 & Loop con gap = 0.01 & Loop con gap = default
\textit{a280.tsp} & 27.411 & 11.588 & 13.857\\
\textit{ali535.tsp} & 291.323 & 349.553 & 251.844\\
\textit{att48.tsp} & 0.684 & 0.629 & 0.972\\
\textit{att532.tsp} & 281.506 & 306.981 & 313.906\\
\textit{berlin52.tsp} & 0.166 & 0.141 & 0.141\\
\textit{bier127.tsp} & 2.330 & 2.918 & 2.439\\
\textit{burma14.tsp} & 0.121 & 0.099 & 0.066\\
\textit{ch130.tsp} & 2.624 & 2.360 & 2.411\\
\textit{ch150.tsp} & 6.972 & 7.128 & 5.951\\
\textit{d198.tsp} & 19.695 & 20.837 & 26.099\\
\textit{d493.tsp} & 330.015 & 241.929 & 317.945\\
\textit{d657.tsp} & 600.93 & 445.697 & 458.962\\
\textit{eil101.tsp} & 1.173 & 0.805 & 1.080\\
\textit{eil51.tsp} & 0.566 & 0.471 & 0.749\\
\textit{eil76.tsp} & 0.342 & 0.259 & 0.285\\
\textit{fl417.tsp} & 217.655 & 313.192 & 209.508\\
\textit{gil262.tsp} & 22.302 & 25.560 & 26.517\\
\textit{gr137.tsp} & 5.941 & 4.857 & 3.428\\
\textit{gr202.tsp} & 19.001 & 16.674 & 19.909\\
\textit{gr229.tsp} & 12.574 & 10.783 & 16.537\\
\textit{gr431.tsp} & 91.827 & 66.614 & 72.726\\
\textit{gr666.tsp} & 486.959 & 516.687 & 600.235\\
\textit{gr96.tsp} & 3.299 & 2.167 & 2.131\\
\textit{kroA100.tsp} & 2.245 & 3.097 & 2.011\\
\textit{kroA150.tsp} & 8.224 & 7.761 & 10.519\\
\textit{kroA200.tsp} & 31.376 & 29.324 & 24.679\\
\textit{kroB100.tsp} & 2.940 & 4.361 & 4.225\\
\textit{kroB150.tsp} & 12.204 & 13.437 & 14.636\\
\textit{kroB200.tsp} & 13.463 & 8.076 & 12.244\\
\textit{kroC100.tsp} & 2.561 & 2.196 & 2.628\\
\textit{kroD100.tsp} & 2.699 & 2.293 & 2.113\\
\textit{kroE100.tsp} & 3.065 & 1.997 & 2.477\\
\textit{lin105.tsp} & 1.54 & 1.829 & 1.674\\
\textit{lin318.tsp} & 56.505 & 49.786 & 47.514\\
\textit{p654.tsp} & 684.198 & 880.166 & 600.351\\
\textit{pcb442.tsp} & 251.024 & 266.387 & 243.732\\
\textit{pr107.tsp} & 0.551 & 0.555 & 0.614\\
\textit{pr124.tsp} & 8.394 & 7.002 & 8.840\\
\textit{pr136.tsp} & 4.676 & 2.741 & 2.750\\
\textit{pr144.tsp} & 5.316 & 11.016 & 11.239\\
\textit{pr152.tsp} & 4.719 & 4.863 & 5.480\\
\textit{pr226.tsp} & 32.678 & 43.278 & 66.161\\
\textit{pr299.tsp} & 102.936 & 109.369 & 108.237\\
\textit{pr439.tsp} & 355.795 & 476.181 & 409.73\\
\textit{pr76.tsp} & 5.331 & 4.867 & 4.225\\
\textit{rat195.tsp} & 32.627 & 36.468 & 37.502\\
\textit{rat575.tsp} & 305.992 & 417.810 & 391.694\\
\textit{rat783.tsp} & 310.511 & 283.290 & 222.909\\
\textit{rat99.tsp} & 2.178 & 1.420 & 1.548\\
\textit{rd100.tsp} & 1.932 & 1.900 & 2.306\\
\textit{rd400.tsp} & 110.792 & 133.082 & 128.746\\
\textit{st70.tsp} & 0.467 & 0.411 & 0.466\\
\textit{u159.tsp} & 2.439 & 3.145 & 3.285\\
\textit{u574.tsp} & 285.595 & 245.335 & 157.913\\
\textit{u724.tsp} & 600.884 & 551.932 & 440.595\\
\textit{ulysses16.tsp} & 0.191 & 0.158 & 0.232\\
\textit{ulysses22.tsp} & 0.176 & 0.146 & 0.186\\
