\textit{a280.tsp} & 16.556 & 17.365 & 14.718 & 16.114\\
\textit{ali535.tsp} & 237.82 & 244.416 & 204.061 & 268.006\\
\textit{att48.tsp} & 0.664 & 0.613 & 0.695 & 0.605\\
\textit{att532.tsp} & 337.888 & 349.073 & 306.43 & 317.942\\
\textit{berlin52.tsp} & 0.179 & 0.202 & 0.164 & 0.184\\
\textit{bier127.tsp} & 2.425 & 2.557 & 2.704 & 2.63\\
\textit{burma14.tsp} & 0.065 & 0.121 & 0.066 & 0.06\\
\textit{ch130.tsp} & 2.444 & 2.519 & 2.636 & 2.582\\
\textit{ch150.tsp} & 5.216 & 5.228 & 5.446 & 5.286\\
\textit{d493.tsp} & 298.674 & 256.219 & 268.271 & 292.941\\
\textit{d657.tsp} & 529.713 & 476.444 & 511.532 & 443.609\\
\textit{eil51.tsp} & 0.497 & 0.505 & 0.574 & 0.614\\
\textit{eil101.tsp} & 0.973 & 1.003 & 1.476 & 1.005\\
\textit{eil76.tsp} & 0.291 & 0.288 & 0.287 & 0.346\\
\textit{fl417.tsp} & 210.629 & 216.737 & 228.297 & 237.123\\
\textit{gil262.tsp} & 25.446 & 21.953 & 23.957 & 25.757\\
\textit{gr96.tsp} & 2.361 & 2.354 & 2.35 & 2.351\\
\textit{gr137.tsp} & 3.328 & 3.512 & 3.4 & 3.712\\
\textit{gr202.tsp} & 19.77 & 20.923 & 18.47 & 20.154\\
\textit{gr229.tsp} & 18.043 & 18.269 & 17.369 & 17.273\\
\textit{gr431.tsp} & 64.513 & 71.89 & 63.802 & 76.604\\
\textit{gr666.tsp} & 600.326 & 600.449 & 600.377 & 600.316\\
\textit{kroA100.tsp} & 2.198 & 2.468 & 2.154 & 2.263\\
\textit{kroA150.tsp} & 10.741 & 11.431 & 9.918 & 11.854\\
\textit{kroA200.tsp} & 26.872 & 23.063 & 24.315 & 31.149\\
\textit{kroB100.tsp} & 4.229 & 4.456 & 4.568 & 4.329\\
\textit{kroB150.tsp} & 14.127 & 13.261 & 14.596 & 15.419\\
\textit{kroB200.tsp} & 11.209 & 10.976 & 11.562 & 14.202\\
\textit{kroC100.tsp} & 2.441 & 2.694 & 2.361 & 2.578\\
\textit{kroD100.tsp} & 2.282 & 2.33 & 2.384 & 2.289\\
\textit{kroE100.tsp} & 2.224 & 2.204 & 2.555 & 2.306\\
\textit{lin105.tsp} & 1.623 & 1.608 & 1.596 & 1.783\\
\textit{lin318.tsp} & 43.449 & 50.029 & 47.338 & 54.559\\
\textit{p654.tsp} & 600.252 & 600.257 & 600.242 & 600.278\\
\textit{pcb442.tsp} & 232.039 & 232.068 & 238.458 & 233.961\\
\textit{pr76.tsp} & 4.827 & 4.587 & 4.213 & 4.625\\
\textit{pr107.tsp} & 0.488 & 0.481 & 0.587 & 0.502\\
\textit{pr124.tsp} & 9.863 & 11.128 & 10.569 & 10.933\\
\textit{pr136.tsp} & 2.71 & 2.653 & 2.412 & 2.897\\
\textit{pr144.tsp} & 11.542 & 11.505 & 10.922 & 11.568\\
\textit{pr152.tsp} & 6.568 & 5.744 & 5.657 & 6.087\\
\textit{pr299.tsp} & 94.165 & 98.643 & 97.54 & 90.642\\
\textit{pr439.tsp} & 437.816 & 434.683 & 463.188 & 459.081\\
\textit{rat195.tsp} & 39.787 & 39.102 & 42.18 & 40.973\\
\textit{rat575.tsp} & 403.654 & 385.722 & 402.831 & 426.853\\
\textit{rat783.tsp} & 230.542 & 254.016 & 214.378 & 218.696\\
\textit{rat99.tsp} & 1.571 & 1.547 & 1.569 & 1.52\\
\textit{rd100.tsp} & 2.189 & 2.086 & 2.119 & 2.037\\
\textit{rd400.tsp} & 112.157 & 114.066 & 115.761 & 108.751\\
\textit{st70.tsp} & 0.406 & 0.422 & 0.463 & 0.448\\
\textit{u159.tsp} & 3.771 & 3.376 & 3.579 & 3.489\\
\textit{u574.tsp} & 187.302 & 189.366 & 165.305 & 172.686\\
\textit{u724.tsp} & 454.542 & 423.676 & 542.278 & 428.793\\
\textit{ulysses16.tsp} & 0.164 & 0.214 & 0.137 & 0.149\\
\textit{ulysses22.tsp} & 0.145 & 0.127 & 0.131 & 0.133\\
