4 & Soft Fixing & Hard Fixing & Generic Soft Fixing & Generic Hard Fixing & ciao & ciao
\textit{a280.tsp} & 2724.77 & 2586.77 & 2608.26 & 2586.77\\
\textit{att532.tsp} & 1147110.24 & 94035.59 & 386595.1 & 87368.3\\
\textit{bier127.tsp} & 118293.52 & 118293.52 & 118293.52 & 118293.52\\
\textit{d198.tsp} & 15822.5 & 15808.65 & 15808.65 & 15808.65\\
\textit{d493.tsp} & 246364.95 & 35043.38 & 244907.83 & 35018.92\\
\textit{eil76.tsp} & 544.37 & 544.37 & 544.37 & 544.37\\
\textit{eil101.tsp} & 640.21 & 640.21 & 640.21 & 640.21\\
\textit{fl417.tsp} & 309353.68 & 13851.95 & 235146.98 & 11966.5\\
\textit{gr137.tsp} & 706.29 & 706.29 & 706.29 & 706.29\\
\textit{gr202.tsp} & 486.5 & 486.35 & 486.78 & 486.35\\
\textit{lin105.tsp} & 14383 & 14383 & 14383 & 14383\\
\textit{lin318.tsp} & 44649.54 & 42042.54 & 42258.85 & 42275.83\\
\textit{pcb442.tsp} & 50783.55 & 50783.55 & 177301.04 & 50783.55\\
\textit{pr144.tsp} & 58535.22 & 58535.22 & 58535.22 & 58535.22\\
\textit{pr264.tsp} & 611127.23 & 49374.84 & 49135 & 49410.3\\
\textit{pr299.tsp} & 48469.13 & 48323.36 & 48226.92 & 48194.92\\
\textit{pr439.tsp} & 107537.87 & 108632.65 & 501047.16 & 107332.47\\
\textit{rat575.tsp} & 84631.45 & 6934.26 & 7533.38 & 6799.55\\
\textit{rd400.tsp} & 15290.98 & 15285.5 & 23080.53 & 15275.98\\
\textit{u159.tsp} & 42075.67 & 42075.67 & 42075.67 & 42075.67\\
