9860.000000 14152.000000 1 
9396.000000 14616.000000 2 
9164.000000 14964.000000 51 
8700.000000 15312.000000 57 
8236.000000 15428.000000 54 
7540.000000 15080.000000 45 
7308.000000 14848.000000 103 
7772.000000 14732.000000 44 
8700.000000 14036.000000 35 
8236.000000 13572.000000 40 
8584.000000 13108.000000 43 
8468.000000 12876.000000 34 
8004.000000 12760.000000 42 
8352.000000 12644.000000 39 
8468.000000 12296.000000 38 
8932.000000 12064.000000 26 
8468.000000 11136.000000 25 
8352.000000 10672.000000 29 
8352.000000 10324.000000 32 
8236.000000 11020.000000 33 
8004.000000 11020.000000 122 
7772.000000 11020.000000 28 
5336.000000 10324.000000 97 
812.000000 6264.000000 98 
5684.000000 11948.000000 123 
5684.000000 13224.000000 95 
5104.000000 14616.000000 93 
3248.000000 14152.000000 127 
1160.000000 18560.000000 107 
5336.000000 18908.000000 111 
6264.000000 19140.000000 112 
6496.000000 17168.000000 94 
7424.000000 17516.000000 46 
7656.000000 17052.000000 118 
7540.000000 16820.000000 48 
7888.000000 16936.000000 53 
7888.000000 17168.000000 49 
8352.000000 17052.000000 47 
9164.000000 16008.000000 56 
9164.000000 15544.000000 121 
9512.000000 15776.000000 5 
9744.000000 16240.000000 52 
9512.000000 16472.000000 124 
9512.000000 17400.000000 55 
10324.000000 17516.000000 66 
11832.000000 17516.000000 113 
11600.000000 19720.000000 65 
14384.000000 20184.000000 99 
14152.000000 18908.000000 92 
13804.000000 18792.000000 89 
13688.000000 17516.000000 125 
16472.000000 16472.000000 104 
15544.000000 12760.000000 110 
16936.000000 12180.000000 85 
17052.000000 12064.000000 86 
16936.000000 11832.000000 87 
17052.000000 11600.000000 88 
15660.000000 11368.000000 109 
15660.000000 10788.000000 96 
16240.000000 8352.000000 119 
15312.000000 6612.000000 63 
10904.000000 3480.000000 102 
9744.000000 3132.000000 101 
11020.000000 7424.000000 83 
11484.000000 7540.000000 82 
11484.000000 8468.000000 126 
11484.000000 9512.000000 81 
11484.000000 9744.000000 84 
11020.000000 10208.000000 117 
11136.000000 11020.000000 78 
11832.000000 11252.000000 76 
12644.000000 10556.000000 75 
13688.000000 10904.000000 69 
13688.000000 11716.000000 70 
13688.000000 12528.000000 71 
12876.000000 12180.000000 68 
12064.000000 12528.000000 74 
12296.000000 12760.000000 73 
12412.000000 13340.000000 67 
11600.000000 13456.000000 8 
11484.000000 13224.000000 72 
11252.000000 13340.000000 19 
11020.000000 13340.000000 22 
11020.000000 13456.000000 4 
11136.000000 13572.000000 23 
11020.000000 13688.000000 24 
11252.000000 14036.000000 9 
11136.000000 14152.000000 11 
11252.000000 14848.000000 3 
12064.000000 14964.000000 90 
12180.000000 14848.000000 116 
12412.000000 14964.000000 60 
12992.000000 14964.000000 59 
12528.000000 15196.000000 62 
12296.000000 15312.000000 61 
12180.000000 15544.000000 91 
11716.000000 16008.000000 58 
11716.000000 16124.000000 64 
11252.000000 15776.000000 100 
10672.000000 15080.000000 10 
10208.000000 15196.000000 115 
9744.000000 15196.000000 50 
10092.000000 14964.000000 13 
10440.000000 14732.000000 120 
10208.000000 14384.000000 7 
10440.000000 14036.000000 105 
10672.000000 14152.000000 114 
10788.000000 13804.000000 6 
10672.000000 13804.000000 106 
10556.000000 13688.000000 15 
10788.000000 13572.000000 108 
10672.000000 13340.000000 20 
10904.000000 13108.000000 17 
11020.000000 13108.000000 21 
11368.000000 12644.000000 18 
11368.000000 12296.000000 77 
10556.000000 11948.000000 79 
10324.000000 11716.000000 80 
9512.000000 12412.000000 27 
9744.000000 12528.000000 31 
9860.000000 13108.000000 12 
9512.000000 13340.000000 14 
9164.000000 12876.000000 30 
9164.000000 13340.000000 41 
8932.000000 13688.000000 36 
9048.000000 13804.000000 37 
9628.000000 14036.000000 16 
9860.000000 14152.000000 1 


